Table Name:,"1986-92 CIA – Female Smoker, ANB",,,,,,,,,,,,,,
Table Identity:,437,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,
Provider Name:,Roger S Lumsden,,,,,,,,,,,,,,
Table Reference:,"Harry Panjer and Ken Seng Tan, “Graduation of Canadian Individual Insurance Mortality Experience: 1986-1992”, Canadian Institute of Actuaries (Ottawa, 1995)",,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) – Female Smoker. Basis: Age Nearest Birthday. Minimum Select Age: 16. Maximum Select Age: 80. Minimum Ultimate Age: 31. Maximum Ultimate Age: 105,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,
Comments:,"Study Data: Canada’s Committee on Expected Experience, Individual Life (CEEIL) was concerned that at the time of the previous generation of tables (See SOA Table Identities 416-425) that the smoker and nonsmoker data available did not contain a sufficient number of deaths to give a reliable measure of mortality. Thus a margin was added to the smoker and nonsmoker tables in view of uncertainty of the correct values. Four more years of data has increased greatly the volume of deaths reported on a smoker and nonsmoker basis. Methodology: Ultimate rates for ages 0-15 based on both the select period and ultimate period data with the data combined by attained age. Ages 0-99 where then graduated with Whittaker B formula. Ages above 40 further smoothed by Makeham's Second Law using colog(p(x)) rather than mu(x). Ages 100-105 were appended by fitting a cubic so as to reach 1 at age 105. Age 0 was subsequently reset to the raw qx.  Select rates initially calculated as ratios to the ultimate expected in quinquennial issue age groups. These ratios where then graduated. Duration 1 selection factors were fitted to logistic-linear curve. The rate of decay of selection was based on a single power function for all attained ages. Together, a complete table of selection factors were obtained that could then be multiplied by the ultimate qx's for the same attained ages. Small final adjustments were made to bring actual-to-expected ratios to 100%. NOTE: A prior generation of this table had an unauthorized extension for select issue ages 81 to 90. As the rates were not produced or published by the CIA, they have been removed. Data Transcription Errors Detected: 07/2013. Data Corrected and Certified: 07/2013",,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,Canada",,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) – Female Smoker. Basis: Age Nearest Birthday. Minimum Select Age: 16. Maximum Select Age: 80.,,,,,,,,,,,,,,
Nation:,Canada,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",16,1,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",80,15,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
16,0.00029,0.00030,0.00031,0.00031,0.00032,0.00032,0.00032,0.00032,0.00031,0.00032,0.00036,0.00043,0.00052,0.00061,0.00069
17,0.00030,0.00030,0.00031,0.00031,0.00030,0.00031,0.00030,0.00030,0.00031,0.00035,0.00041,0.00050,0.00059,0.00067,0.00073
18,0.00029,0.00029,0.00029,0.00029,0.00029,0.00029,0.00028,0.00029,0.00033,0.00040,0.00049,0.00057,0.00065,0.00071,0.00077
19,0.00028,0.00028,0.00027,0.00027,0.00027,0.00027,0.00028,0.00032,0.00038,0.00047,0.00055,0.00063,0.00069,0.00075,0.00082
