Table Name:,"1986-92 CIA – Female Nonsmoker, ALB",,,,,,,,,,,,,,
Table Identity:,435,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,
Provider Name:,Roger Scott Lumsden,,,,,,,,,,,,,,
Table Reference:,"Harry Panjer and Ken Seng Tan, “Graduation of Canadian Individual Insurance Mortality Experience: 1986-1992”, Canadian Institute of Actuaries (Ottawa, 1995)",,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) – Female Nonsmoker. Basis: Age Last Birthday. Minimum Select Age: 16. Maximum Select Age: 80. Minimum Ultimate Age: 31. Maximum Ultimate Age: 104,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,
Comments:,"Study Data: Canada’s Committee on Expected Experience, Individual Life (CEEIL) was concerned that at the time of the previous generation of tables (See SOA Table Identities 416-425) that the smoker and nonsmoker data available did not contain a sufficient number of deaths to give a reliable measure of mortality. Thus a margin was added to the smoker and nonsmoker tables in view of uncertainty of the correct values. Four more years of data has increased greatly the volume of deaths reported on a smoker and nonsmoker basis. Methodology: Ultimate rates for ages 0-15 based on both the select period and ultimate period data with the data combined by attained age. Ages 0-99 where then graduated with Whittaker B formula. Ages above 40 further smoothed by Makeham's Second Law using colog(p(x)) rather than mu(x). Ages 100-105 were appended by fitting a cubic so as to reach 1 at age 105. Age 0 was subsequently reset to the raw qx.  Select rates initially calculated as ratios to the ultimate expected in quinquennial issue age groups. These ratios where then graduated. Duration 1 selection factors were fitted to logistic-linear curve. The rate of decay of selection was based on a single power function for all attained ages. Together, a complete table of selection factors were obtained that could then be multiplied by the ultimate qx's for the same attained ages. Small final adjustments were made to bring actual-to-expected ratios to 100%. Age last birthday rates then developed from the age nearest birthday rates. Data Transcription Errors: None. Data Certified: 07/2013",,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,Canada",,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) – Female Nonsmoker. Basis: Age Last Birthday. Minimum Select Age: 16. Maximum Select Age: 80.,,,,,,,,,,,,,,
Nation:,Canada,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",16,1,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",80,15,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
16,0.00027,0.00027,0.00027,0.00027,0.00027,0.00026,0.00025,0.00024,0.00024,0.00025,0.00028,0.00033,0.00038,0.00043,0.00046
17,0.00026,0.00026,0.00026,0.00025,0.00025,0.00024,0.00023,0.00023,0.00024,0.00027,0.00032,0.00037,0.00042,0.00045,0.00047
18,0.00025,0.00025,0.00024,0.00024,0.00023,0.00022,0.00022,0.00023,0.00026,0.00031,0.00036,0.00040,0.00044,0.00046,0.00048
19,0.00023,0.00023,0.00022,0.00022,0.00021,0.00021,0.00022,0.00025,0.00030,0.00035,0.00039,0.00042,0.00045,0.00047,0.00051
20,0.00020,0.00020,0.00020,0.00020,0.00020,0.00021,0.00024,0.00029,0.00033,0.00037,0.00041,0.00043,0.00046,0.00049,0.00053
21,0.00017,0.00018,0.00018,0.00018,0.00020,0.00023,0.00027,0.00032,0.00036,0.00039,0.00042,0.00044,0.00048,0.00052,0.00056
22,0.00015,0.00017,0.00017,0.00018,0.00022,0.00026,0.00030,0.00034,0.00038,0.00040,0.00043,0.00046,0.00050,0.00054,0.00059
23,0.00013,0.00015,0.00017,0.00020,0.00024,0.00029,0.00033,0.00036,0.00039,0.00041,0.00045,0.00049,0.00053,0.00058,0.00064
24,0.00012,0.00015,0.00018,0.00023,0.00027,0.00031,0.00034,0.00037,0.00040,0.00043,0.00047,0.00051,0.00056,0.00062,0.00071
25,0.00012,0.00016,0.00021,0.00025,0.00029,0.00033,0.00035,0.00038,0.00041,0.00045,0.00049,0.00054,0.00060,0.00069,0.00078
26,0.00013,0.00019,0.00023,0.00027,0.00031,0.00033,0.00036,0.00039,0.00043,0.00048,0.00052,0.00058,0.00066,0.00076,0.00086
27,0.00014,0.00021,0.00025,0.00029,0.00031,0.00034,0.00038,0.00042,0.00046,0.00050,0.00056,0.00064,0.00074,0.00084,0.00094
28,0.00016,0.00022,0.00026,0.00029,0.00032,0.00036,0.00040,0.00044,0.00048,0.00054,0.00062,0.00071,0.00081,0.00091,0.00100
29,0.00017,0.00023,0.00027,0.00030,0.00033,0.00037,0.00042,0.00046,0.00052,0.00060,0.00069,0.00079,0.00088,0.00097,0.00108
