Table Name:,2015 VBT Female Non-Smoker RR100 ALB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3214,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Society of Actuaries website, 2015 Valuation Basic Tables. Accessed: March, 2016 from https://www.soa.org/resources/experience-studies/2015/2015-valuation-basic-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 Valuation Basic Table (VBT) Relative Risk Table - Female, 100%, Non-Smoker, Age Last Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2015 VBT was developed based on the mortality experience from the SOA Individual Life Experience Committee studies from the 2002-2009 study period. Additional data from other sources was used to supplement the 2002-2009 experience at younger and older ages where industry experience was sparse.To develop the 2015 VBT table, the mortality was projected from March 1st, 2006 to July 1st, 2015, using recent mortality improvement trends. Data Certified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 VBT Relative Risk Table - Female, 100% Non-Smoker, Age Last Birthday, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00027,0.00027,0.00026,0.00027,0.00027,0.00027,0.00026,0.00026,0.00027,0.00028,0.0003,0.00032,0.00034,0.00036,0.0004,0.00047,0.00054,0.00062,0.0007,0.00077,0.00083,0.00086,0.00087,0.00087,0.00088
19,0.00026,0.00025,0.00025,0.00025,0.00025,0.00025,0.00024,0.00024,0.00026,0.00028,0.0003,0.00032,0.00033,0.00036,0.00041,0.00048,0.00057,0.00066,0.00075,0.00081,0.00086,0.00087,0.00087,0.00088,0.00088
20,0.00021,0.00022,0.00023,0.00024,0.00023,0.00022,0.00022,0.00023,0.00026,0.00028,0.0003,0.00031,0.00033,0.00036,0.00043,0.00051,0.0006,0.00068,0.00076,0.00083,0.00087,0.00087,0.00088,0.00088,0.00088
21,0.00017,0.0002,0.00022,0.00022,0.00021,0.0002,0.00021,0.00023,0.00026,0.00029,0.0003,0.00031,0.00033,0.00038,0.00045,0.00054,0.00062,0.00069,0.00077,0.00084,0.00087,0.00088,0.00088,0.00088,0.0009
